Disease,Description,Treatment,Prevention
Tetanus,"hypersensitivity to stimuli, muscle stiffness","Keep the animal in a quiet, dark place. Avoid loud noise or stress. Immobilize to prevent injury and call a vet urgently.","Vaccination, proper wound care, and clean environment."
Pinkeye,"sensitivity to light, corneal ulceration","Move animal to a shaded area, clean the affected eye with saline solution, and protect from dust and flies.","Fly control, isolation of affected animals, and avoiding dusty conditions."
Bovine Respiratory Disease,"coughing, fever","Isolate the affected animal, ensure fresh air and shade, and reduce stress. Keep the animal hydrated and consult a vet promptly.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Tetanus,"difficulty swallowing, hypersensitivity to stimuli","Keep the animal in a quiet, dark place. Avoid loud noise or stress. Immobilize to prevent injury and call a vet urgently.","Vaccination, proper wound care, and clean environment."
Bovine Viral Diarrhea,"diarrhea, oral erosions, high temperature, loss of appetite, nasal discharge",Isolate the affected animal. Maintain hydration using electrolyte solutions and avoid stress-inducing activities.,"Vaccination, testing and removal of PI animals, and biosecurity measures."
Brucellosis,"reduced milk production, swollen joints, retained placenta",Isolate animal and prevent milking or close handling. Clean contaminated areas and contact vet services.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Tetanus,"hypersensitivity to stimuli, muscle stiffness, difficulty swallowing, lockjaw","Keep the animal in a quiet, dark place. Avoid loud noise or stress. Immobilize to prevent injury and call a vet urgently.","Vaccination, proper wound care, and clean environment."
Salmonellosis,"fever, loss of appetite",Isolate the animal and disinfect contaminated areas. Maintain hydration and hygiene. Provide bland diet and avoid spreading through feces.,"Improve hygiene, water quality, and feed management."
Brucellosis,"swollen joints, abortion, retained placenta, fever, reduced milk production",Isolate animal and prevent milking or close handling. Clean contaminated areas and contact vet services.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Brucellosis,"abortion, swollen joints, rapid breathing",Isolate animal and prevent milking or close handling. Clean contaminated areas and contact vet services.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Leptospirosis,"reduced milk production, fever, jaundice","Isolate the animal, provide clean water and rest. Avoid contact with bodily fluids and disinfect contaminated areas.","Vaccination, rodent control, and avoid contaminated water sources."
Blackleg,"depression, high temperature, lameness, not eating",Do not move the animal. Provide comfortable conditions and isolate from the herd. Seek vet assistance immediately.,"Vaccination, proper disposal of dead animals, and avoid contaminating pastures."
Bloat,"excessive salivation, distended left abdomen",Walk the animal slowly and avoid letting it lie down. Do not feed further. Seek immediate veterinary care.,"Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
Mastitis,"fever, reduced milk production, swollen udder","Gently milk out the affected quarter to reduce pressure. Maintain udder hygiene and provide a clean, dry area for rest.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Anaplasmosis,"weakness, depression, loss of appetite, anemia, fever, jaundice","Minimize stress, keep the animal in a shaded and quiet area. Ensure clean water and prepare for vet consultation.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Salmonellosis,"fever, dehydration, weakness, diarrhea",Isolate the animal and disinfect contaminated areas. Maintain hydration and hygiene. Provide bland diet and avoid spreading through feces.,"Improve hygiene, water quality, and feed management."
Brucellosis,"retained placenta, reduced milk production, abortion",Isolate animal and prevent milking or close handling. Clean contaminated areas and contact vet services.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Leptospirosis,"red urine, reduced milk production, abortion","Isolate the animal, provide clean water and rest. Avoid contact with bodily fluids and disinfect contaminated areas.","Vaccination, rodent control, and avoid contaminated water sources."
Ringworm,"hair loss, circular skin lesions","Isolate the infected animal, disinfect tools and equipment, and limit exposure to other animals.","Isolate affected animals, disinfect equipment, and improve nutrition."
Bovine Respiratory Disease,"not eating, coughing, rapid breathing, high temperature, nasal discharge, lethargy","Isolate the affected animal, ensure fresh air and shade, and reduce stress. Keep the animal hydrated and consult a vet promptly.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Blackleg,"lameness, loss of appetite",Do not move the animal. Provide comfortable conditions and isolate from the herd. Seek vet assistance immediately.,"Vaccination, proper disposal of dead animals, and avoid contaminated pastures."
Tetanus,"lockjaw, muscle stiffness, difficulty swallowing, hypersensitivity to stimuli","Keep the animal in a quiet, dark place. Avoid loud noise or stress. Immobilize to prevent injury and call a vet urgently.","Vaccination, proper wound care, and clean environment."
Salmonellosis,"dehydration, diarrhea",Isolate the animal and disinfect contaminated areas. Maintain hydration and hygiene. Provide bland diet and avoid spreading through feces.,"Improve hygiene, water quality, and feed management."
Ringworm,"hair loss, circular skin lesions","Isolate the infected animal, disinfect tools and equipment, and limit exposure to other animals.","Isolate affected animals, disinfect equipment, and improve nutrition."
Ringworm,"circular skin lesions, crusty skin patches, hair loss","Isolate the infected animal, disinfect tools and equipment, and limit exposure to other animals.","Isolate affected animals, disinfect equipment, and improve nutrition."
Mastitis,"swollen udder, pain in udder","Gently milk out the affected quarter to reduce pressure. Maintain udder hygiene and provide a clean, dry area for rest.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Foot and Mouth Disease,"blisters on mouth, lameness, blisters on feet, hypersensitivity to stimuli","Isolate animal, provide soft bedding and soft feed. Disinfect affected areas and limit movement to prevent spread.","Strict biosecurity, movement controls, and reporting to authorities."
Salmonellosis,"loss of appetite, weakness",Isolate the animal and disinfect contaminated areas. Maintain hydration and hygiene. Provide bland diet and avoid spreading through feces.,"Improve hygiene, water quality, and feed management."
Johne's Disease,"decreased milk production, weight loss, weakness, diarrhea, coughing","Isolate the animal, offer supportive care and hydration. Practice strict hygiene to prevent spreading.","Cull positive animals, improve calving area hygiene, and test regularly."
Johne's Disease,"weight loss, diarrhea","Isolate the animal, offer supportive care and hydration. Practice strict hygiene to prevent spreading.","Cull positive animals, improve calving area hygiene, and test regularly."
Leptospirosis,"fever, red urine, abortion, reduced milk production","Isolate the animal, provide clean water and rest. Avoid contact with bodily fluids and disinfect contaminated areas.","Vaccination, rodent control, and avoid contaminated water sources."
