Disease,Description,Treatment,Advice
Bovine Viral Diarrhea,"diarrhea, oral erosions, high temperature, loss of appetite, nasal discharge","Supportive care, fluids, and antibiotics for secondary infections.","Vaccination, testing and removal of PI animals, and biosecurity measures."
Brucellosis,"reduced milk production, swollen joints, retained placenta",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Tetanus,"hypersensitivity to stimuli, muscle stiffness, difficulty swallowing, lockjaw","Tetanus antitoxin, antibiotics, muscle relaxants, and supportive care.","Vaccination, proper wound care, and clean environment."
Salmonellosis,"fever, loss of appetite","Fluid therapy, electrolytes, and antibiotics if needed.","Improve hygiene, water quality, and feed management."
Brucellosis,"swollen joints, abortion, retained placenta, fever, reduced milk production",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Brucellosis,"abortion, swollen joints, rapid breathing",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Leptospirosis,"reduced milk production, fever, jaundice",Streptomycin or oxytetracycline treatment.,"Vaccination, rodent control, and avoid contaminated water sources."
Blackleg,"depression, high temperature, lameness, not eating","Antibiotics if caught early, but often fatal. Vaccination is preventive.","Vaccination, proper disposal of dead animals, and avoid contaminated pastures."
Bloat,"excessive salivation, distended left abdomen","Passing stomach tube, vegetable oil orally, or trocarization in emergency.","Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
Mastitis,"fever, reduced milk production, swollen udder","Intramammary antibiotics, systemic antibiotics, frequent milking, and anti-inflammatory drugs.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Anaplasmosis,"weakness, depression, loss of appetite, anemia, fever, jaundice","Tetracycline antibiotics, supportive care, and blood transfusions in severe cases.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Salmonellosis,"fever, dehydration, weakness, diarrhea","Fluid therapy, electrolytes, and antibiotics if needed.","Improve hygiene, water quality, and feed management."
Brucellosis,"retained placenta, reduced milk production, abortion",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Leptospirosis,"red urine, reduced milk production, abortion",Streptomycin or oxytetracycline treatment.,"Vaccination, rodent control, and avoid contaminated water sources."
Ringworm,"hair loss, circular skin lesions",Topical antifungal treatments and isolation of affected animals.,"Isolate affected animals, disinfect equipment, and improve nutrition."
Bovine Respiratory Disease,"not eating, coughing, rapid breathing, high temperature, nasal discharge, lethargy","Antibiotics such as oxytetracycline or tulathromycin, anti-inflammatory drugs, and supportive care.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Blackleg,"lameness, loss of appetite","Antibiotics if caught early, but often fatal. Vaccination is preventive.","Vaccination, proper disposal of dead animals, and avoid contaminated pastures."
Tetanus,"lockjaw, muscle stiffness, difficulty swallowing, hypersensitivity to stimuli","Tetanus antitoxin, antibiotics, muscle relaxants, and supportive care.","Vaccination, proper wound care, and clean environment."
Salmonellosis,"dehydration, diarrhea","Fluid therapy, electrolytes, and antibiotics if needed.","Improve hygiene, water quality, and feed management."
Ringworm,"hair loss, circular skin lesions",Topical antifungal treatments and isolation of affected animals.,"Isolate affected animals, disinfect equipment, and improve nutrition."
Ringworm,"circular skin lesions, crusty skin patches, hair loss",Topical antifungal treatments and isolation of affected animals.,"Isolate affected animals, disinfect equipment, and improve nutrition."
Mastitis,"swollen udder, pain in udder","Intramammary antibiotics, systemic antibiotics, frequent milking, and anti-inflammatory drugs.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Foot and Mouth Disease,"blisters on mouth, lameness, blisters on feet, hypersensitivity to stimuli",No specific treatment. Supportive care and biosecurity measures.,"Strict biosecurity, movement controls, and reporting to authorities."
Salmonellosis,"loss of appetite, weakness","Fluid therapy, electrolytes, and antibiotics if needed.","Improve hygiene, water quality, and feed management."
Johne's Disease,"decreased milk production, weight loss, weakness, diarrhea, coughing",No effective treatment. Management to reduce spread.,"Cull positive animals, improve calving area hygiene, and test regularly."
Johne's Disease,"weight loss, diarrhea",No effective treatment. Management to reduce spread.,"Cull positive animals, improve calving area hygiene, and test regularly."
Leptospirosis,"fever, red urine, abortion, reduced milk production",Streptomycin or oxytetracycline treatment.,"Vaccination, rodent control, and avoid contaminated water sources."
Bovine Viral Diarrhea,"nasal discharge, oral erosions, diarrhea, fever","Supportive care, fluids, and antibiotics for secondary infections.","Vaccination, testing and removal of PI animals, and biosecurity measures."
Mastitis,"fever, abnormal milk, swollen udder, swelling","Intramammary antibiotics, systemic antibiotics, frequent milking, and anti-inflammatory drugs.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Salmonellosis,"weakness, fever, dehydration, diarrhea","Fluid therapy, electrolytes, and antibiotics if needed.","Improve hygiene, water quality, and feed management."
Brucellosis,"retained placenta, abortion, fever, reduced milk production, swollen joints",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Bovine Viral Diarrhea,"loss of appetite, fever","Supportive care, fluids, and antibiotics for secondary infections.","Vaccination, testing and removal of PI animals, and biosecurity measures."
Ringworm,"crusty skin patches, circular skin lesions, hair loss",Topical antifungal treatments and isolation of affected animals.,"Isolate affected animals, disinfect equipment, and improve nutrition."
Tuberculosis,"weight loss, coughing",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, control wildlife reservoirs, and maintain biosecurity."
Bovine Respiratory Disease,"lethargy, high temperature, loss of appetite, rapid breathing, coughing, nasal discharge","Antibiotics such as oxytetracycline or tulathromycin, anti-inflammatory drugs, and supportive care.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Anaplasmosis,"fever, depression, weakness, jaundice, anemia","Tetracycline antibiotics, supportive care, and blood transfusions in severe cases.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Bovine Respiratory Disease,"nasal discharge, rapid breathing, fever, not eating, lethargy","Antibiotics such as oxytetracycline or tulathromycin, anti-inflammatory drugs, and supportive care.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Mastitis,"abnormal milk, fever, reduced milk production, pain in udder, swollen udder, jaundice","Intramammary antibiotics, systemic antibiotics, frequent milking, and anti-inflammatory drugs.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Blackleg,"fever, lameness, swelling","Antibiotics if caught early, but often fatal. Vaccination is preventive.","Vaccination, proper disposal of dead animals, and avoid contaminated pastures."
Anaplasmosis,"jaundice, not eating, high temperature, depression","Tetracycline antibiotics, supportive care, and blood transfusions in severe cases.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Tuberculosis,"fever, weakness",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, control wildlife reservoirs, and maintain biosecurity."
Tuberculosis,"swollen lymph nodes, weight loss, coughing",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, control wildlife reservoirs, and maintain biosecurity."
